COD_IPRESS,NOMBRE,CLASIFICACION,DEPARTAMENTO,PROVINCIA,DISTRITO,CATEGORIA,INSTITUCION
00032983,"""JUAN PABLO II""",POLICLINICOS,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,I-2,PRIVADO
00006754,9 DE ENERO,CENTROS DE SALUD O CENTROS MEDICOS,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,I-3,GOBIERNO REGIONAL
00005129,?UNYA JALCA,CENTROS DE SALUD O CENTROS MEDICOS,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,I-3,GOBIERNO REGIONAL
00007288,?UNYA TEMPLE,PUESTOS DE SALUD O POSTAS DE SALUD,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,I-1,GOBIERNO REGIONAL
00007007,ACERILLO,PUESTOS DE SALUD O POSTAS DE SALUD,AMAZONAS,BAGUA,BAGUA,I-1,GOBIERNO REGIONAL
00006990,ACHAMAL,PUESTOS DE SALUD O POSTAS DE SALUD,AMAZONAS,RODRIGUEZ DE MENDOZA,CHIRIMOTO,I-1,GOBIERNO REGIONAL
00007329,ACHU,PUESTOS DE SALUD O POSTAS DE SALUD,AMAZONAS,CONDORCANQUI,EL CENEPA,I-1,GOBIERNO REGIONAL
00005167,ACHUIM,PUESTOS DE SALUD O POSTAS DE SALUD,AMAZONAS,CONDORCANQUI,EL CENEPA,I-1,GOBIERNO REGIONAL
00007172,AGUA SANTA,PUESTOS DE SALUD O POSTAS DE SALUD,AMAZONAS,LUYA,SANTO TOMAS,I-1,GOBIERNO REGIONAL
00005191,AITAM,PUESTOS DE SALUD O POSTAS DE SALUD,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,I-1,GOBIERNO REGIONAL
00030333,AJACHIN,PUESTOS DE SALUD O POSTAS DE SALUD,AMAZONAS,CONDORCANQUI,NIEVA,I-1,GOBIERNO REGIONAL
00007330,ALAN GARCIA,PUESTOS DE SALUD O POSTAS DE SALUD,AMAZONAS,CONDORCANQUI,NIEVA,I-1,GOBIERNO REGIONAL
00007299,ALENYA,PUESTOS DE SALUD O POSTAS DE SALUD,AMAZONAS,BAGUA,COPALLIN,I-1,GOBIERNO REGIONAL
00006659,ALTO AMAZONAS,CENTROS DE SALUD O CENTROS MEDICOS,AMAZONAS,UTCUBAMBA,CAJARURO,I-3,GOBIERNO REGIONAL
00005156,ALTO KANAMPA,PUESTOS DE SALUD O POSTAS DE SALUD,AMAZONAS,CONDORCANQUI,NIEVA,I-1,GOBIERNO REGIONAL
00023137,ALTO PAJACUSA,PUESTOS DE SALUD O POSTAS DE SALUD,AMAZONAS,CONDORCANQUI,NIEVA,I-1,GOBIERNO REGIONAL
00007198,ALTO PERU,PUESTOS DE SALUD O POSTAS DE SALUD,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,I-2,GOBIERNO REGIONAL
00007286,ALTO SAN JOSE,PUESTOS DE SALUD O POSTAS DE SALUD,AMAZONAS,UTCUBAMBA,CAJARURO,I-1,GOBIERNO REGIONAL
00007242,ALTO UTCUBAMBA,PUESTOS DE SALUD O POSTAS DE SALUD,AMAZONAS,UTCUBAMBA,CAJARURO,I-1,GOBIERNO REGIONAL
00005189,ALTO YUTUPIS,PUESTOS DE SALUD O POSTAS DE SALUD,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,I-1,GOBIERNO REGIONAL
00005192,AMPAMA,PUESTOS DE SALUD O POSTAS DE SALUD,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,I-1,GOBIERNO REGIONAL
00005053,ARAMANGO,CENTROS DE SALUD O CENTROS MEDICOS,AMAZONAS,BAGUA,ARAMANGO,I-3,GOBIERNO REGIONAL
00005052,ARRAYAN,PUESTOS DE SALUD O POSTAS DE SALUD,AMAZONAS,BAGUA,LA PECA,I-1,GOBIERNO REGIONAL
00005141,ASERRADERO,PUESTOS DE SALUD O POSTAS DE SALUD,AMAZONAS,UTCUBAMBA,JAMALCA,I-1,GOBIERNO REGIONAL
00004912,ASUNCION GONCHA,PUESTOS DE SALUD O POSTAS DE SALUD,AMAZONAS,CHACHAPOYAS,ASUNCION,I-1,GOBIERNO REGIONAL
00023138,ATSAKUS,PUESTOS DE SALUD O POSTAS DE SALUD,AMAZONAS,CONDORCANQUI,NIEVA,I-1,GOBIERNO REGIONAL
00007175,ATUEN,PUESTOS DE SALUD O POSTAS DE SALUD,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,I-1,GOBIERNO REGIONAL
00035185,AUGUSTO WONG LOPEZ,PUESTOS DE SALUD O POSTAS DE SALUD,AMAZONAS,BAGUA,BAGUA,I-2,GOBIERNO REGIONAL
00007728,AYAMBIS,PUESTOS DE SALUD O POSTAS DE SALUD,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,I-1,GOBIERNO REGIONAL
00027354,AYLLU SACHAPUYOS,PUESTOS DE SALUD O POSTAS DE SALUD,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,I-2,GOBIERNO REGIONAL
00006998,BAGUA,CENTROS DE SALUD O CENTROS MEDICOS,AMAZONAS,BAGUA,BAGUA,I-3,GOBIERNO REGIONAL
00030745,BAGUA GRANDE,POLICLINICOS,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,I-3,PRIVADO
00007206,BALERIANA,PUESTOS DE SALUD O POSTAS DE SALUD,AMAZONAS,LUYA,COCABAMBA,I-1,GOBIERNO REGIONAL
00004856,BALZAS,CENTROS DE SALUD O CENTROS MEDICOS,AMAZONAS,CHACHAPOYAS,BALSAS,I-3,GOBIERNO REGIONAL
